Going to read training images
Now going to read 0 files (Index: 0)
Now going to read 1 files (Index: 1)
Now going to read 2 files (Index: 2)
Complete reading input data. Will Now print a snippet of it
Number of files in Training-set:		371
Number of files in Validation-set:	92
Training Epoch 149, Training Accuracy:  75.0%, Validation Accuracy:  81.2%,  Validation Loss: 0.811
Training Epoch 150, Training Accuracy:  75.0%, Validation Accuracy:  68.8%,  Validation Loss: 0.792
Training Epoch 151, Training Accuracy:  75.0%, Validation Accuracy:  50.0%,  Validation Loss: 0.897
Training Epoch 152, Training Accuracy:  75.0%, Validation Accuracy:  56.2%,  Validation Loss: 0.877
Training Epoch 153, Training Accuracy:  75.0%, Validation Accuracy:  56.2%,  Validation Loss: 0.888
Training Epoch 154, Training Accuracy:  75.0%, Validation Accuracy:  81.2%,  Validation Loss: 0.799
Training Epoch 155, Training Accuracy:  75.0%, Validation Accuracy:  68.8%,  Validation Loss: 0.777
Training Epoch 156, Training Accuracy:  75.0%, Validation Accuracy:  50.0%,  Validation Loss: 0.886
Training Epoch 157, Training Accuracy:  75.0%, Validation Accuracy:  56.2%,  Validation Loss: 0.865
Training Epoch 158, Training Accuracy:  75.0%, Validation Accuracy:  56.2%,  Validation Loss: 0.876
Training Epoch 159, Training Accuracy:  75.0%, Validation Accuracy:  81.2%,  Validation Loss: 0.786
Training Epoch 160, Training Accuracy:  75.0%, Validation Accuracy:  68.8%,  Validation Loss: 0.763
Training Epoch 161, Training Accuracy:  75.0%, Validation Accuracy:  56.2%,  Validation Loss: 0.874
Training Epoch 162, Training Accuracy:  75.0%, Validation Accuracy:  56.2%,  Validation Loss: 0.852
Training Epoch 163, Training Accuracy:  75.0%, Validation Accuracy:  56.2%,  Validation Loss: 0.864
Training Epoch 164, Training Accuracy:  75.0%, Validation Accuracy:  81.2%,  Validation Loss: 0.772
Training Epoch 165, Training Accuracy:  75.0%, Validation Accuracy:  68.8%,  Validation Loss: 0.748
